ID_2016,ID_ADS,NOTE,DB_2016,ADD-SERVICE,ADS_PREFIX,PARENT_ID,PARENT,TYPE,,
129998,9680,x,Xã Phú Thu?n A,Phú Thu?n B,Xã,615,H?ng Ng?,1,,
129974,9682,x,Xã Th??ng Ph??c 2,Th??ng Ph??c 1,Xã,615,H?ng Ng?,1,,
129956,9683,x,Xã Th??ng Ph??c 1,Th??ng Ph??c 2,Xã,615,H?ng Ng?,1,,
129968,9684,x,Xã Th??ng Th?i H?u B,Th??ng Th?i H?u A,Xã,615,H?ng Ng?,1,,
129962,9685,x,Xã Th??ng Th?i H?u A,Th??ng Th?i H?u B,Xã,615,H?ng Ng?,1,,
120008,3537,x,Ph??ng H??ng Vân,H??ng V?n,Ph??ng,259,H??ng Trà,1,,
120023,3537,x,Ph??ng H??ng An,H??ng V?n,Ph??ng,259,H??ng Trà,1,,
120008,3539,x,Ph??ng H??ng Vân,H??ng Xuân,Ph??ng,259,H??ng Trà,1,,
123845,5621,x,Xã Yang Trung,An Trung,Xã,374,Kông Chro,1,,
123830,5634,x,Xã An Trung,Yang Trung,Xã,374,Kông Chro,1,,
107399,6654,x,Xã Tân Th?nh,Tân Thanh,Xã,432,L?ng Giang,1,,
107411,6655,x,Xã Tân Thanh,Tân Th?nh,Xã,432,L?ng Giang,1,,
130190,9705,x,Xã Long H?ng B,Long H?ng A,Xã,617,L?p Vò,1,,
130184,9706,x,Xã Long H?ng A,Long H?ng B,Xã,617,L?p Vò,1,,
130178,9707,x,Xã M? An H?ng B,M? An H?ng A,Xã,617,L?p Vò,1,,
130172,9708,x,Xã M? An H?ng A,M? An H?ng B,Xã,617,L?p Vò,1,,
125280,5786,x,Xã L?c Th?nh,L?c Thành,Xã,387,L?c Ninh,1,,
125305,5786,x,Xã L?c Th?nh,L?c Thành,Xã,387,L?c Ninh,1,,
125294,5787,x,Xã L?c Thành,L?c Th?nh,Xã,387,L?c Ninh,1,,
125305,5787,x,Xã L?c Th?nh,L?c Th?nh,Xã,387,L?c Ninh,1,,
125280,5789,x,Xã L?c Th?nh,L?c Th?nh,Xã,387,L?c Ninh,1,,
125294,5789,x,Xã L?c Thành,L?c Th?nh,Xã,387,L?c Ninh,1,,
